mode,size_bytes,runs,mean_ms,median_ms,stddev_ms,ci95_low_ms,ci95_high_ms,throughput_mib_s
ecb,1024,30,0.0105969,0.0014425,0.049103,-0.00697442,0.0281682,92.1558
ecb,4096,30,0.0143297,0.002718,0.0628471,-0.00815981,0.0368193,272.598
ecb,16384,30,0.0202122,0.008211,0.0651991,-0.00311901,0.0435433,773.049
ecb,262144,30,0.3613,0.349941,0.0923295,0.32826,0.39434,691.946
ecb,1048576,30,1.302,1.26508,0.171907,1.24049,1.36352,768.047
ecb,8388608,30,14.4074,12.9404,3.49297,13.1575,15.6574,555.269
cbc,1024,30,0.0135507,0.0017295,0.0644202,-0.00950176,0.0366032,72.0673
cbc,4096,30,0.0161074,0.004679,0.0622528,-0.00616946,0.0383843,242.513
cbc,16384,30,0.0291586,0.016802,0.0525446,0.0103557,0.0479614,535.863
cbc,262144,30,0.461319,0.417731,0.136533,0.412461,0.510177,541.925
cbc,1048576,30,1.87528,1.78117,0.209568,1.80029,1.95027,533.253
cbc,8388608,30,18.6591,17.4454,2.61386,17.7238,19.5945,428.744
cfb,1024,30,0.0087202,0.00173,0.0379303,-0.00485297,0.0222934,111.989
cfb,4096,30,0.0114736,0.0046695,0.0369029,-0.00173196,0.0246791,340.456
cfb,16384,30,0.0262438,0.016631,0.0517528,0.00772429,0.0447633,595.379
cfb,262144,30,0.429895,0.404533,0.0861939,0.399051,0.460739,581.537
cfb,1048576,30,1.73258,1.68864,0.179556,1.66833,1.79683,577.174
cfb,8388608,30,21.5266,18.1389,6.9832,19.0277,24.0255,371.634
ofb,1024,30,0.0101108,0.001788,0.0452092,-0.00606705,0.0262887,96.5858
ofb,4096,30,0.0146926,0.0047485,0.0541533,-0.00468592,0.0340711,265.865
ofb,16384,30,0.0270215,0.0171715,0.0514372,0.0086149,0.045428,578.244
ofb,262144,30,0.464832,0.425071,0.137079,0.415779,0.513885,537.828
ofb,1048576,30,1.97654,1.85077,0.288555,1.87328,2.0798,505.935
ofb,8388608,30,19.6717,17.9985,3.32791,18.4808,20.8626,406.676
ctr,1024,30,0.0109429,0.001297,0.0507959,-0.00723419,0.02912,89.2417
ctr,4096,30,0.0116598,0.002444,0.0500415,-0.00624731,0.0295669,335.019
ctr,16384,30,0.0180507,0.007759,0.0564566,-0.00215203,0.0382534,865.617
ctr,262144,30,0.293094,0.256797,0.103775,0.255959,0.330229,852.969
ctr,1048576,30,1.16913,1.1166,0.186795,1.10229,1.23598,855.334
ctr,8388608,30,17.8981,15.7616,5.36797,15.9772,19.819,446.975
xts,1024,30,0.0196828,0.0031875,0.0862915,-0.0111963,0.0505618,49.6151
xts,4096,30,0.0160938,0.005901,0.055715,-0.00384351,0.0360312,242.717
xts,16384,30,0.0270744,0.0164015,0.0532648,0.00801385,0.046135,577.113
xts,262144,30,0.461017,0.420075,0.136986,0.411997,0.510036,542.28
xts,1048576,30,1.84492,1.79058,0.176409,1.78179,1.90804,542.03
xts,8388608,30,21.2713,19.4813,5.03394,19.47,23.0727,376.093
ccm,1024,30,0.0124365,0.002131,0.0551262,-0.00729016,0.0321632,78.5239
ccm,4096,30,0.015779,0.006285,0.050574,-0.00231869,0.0338767,247.56
ccm,16384,30,0.0342864,0.0232525,0.0587561,0.0132608,0.055312,455.72
ccm,262144,30,0.564997,0.518043,0.148229,0.511954,0.61804,442.48
ccm,1048576,30,2.31996,2.18242,0.474781,2.15006,2.48986,431.042
ccm,8388608,30,23.4978,21.107,5.83371,21.4102,25.5853,340.458
gcm,1024,30,0.0046866,0.0023205,0.0124558,0.000229338,0.00914386,208.373
gcm,4096,30,0.0116771,0.007974,0.0202488,0.0044312,0.0189231,334.521
gcm,16384,30,0.0203249,0.0154205,0.019911,0.0131999,0.02745,768.76
gcm,262144,30,0.562833,0.517724,0.163529,0.504314,0.621351,444.182
gcm,1048576,30,1.85635,1.6916,0.65971,1.62028,2.09243,538.691
gcm,8388608,30,15.9348,13.4912,4.70435,14.2514,17.6183,502.045
